#SALTICAM filter transmission data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled from spreadsheets provided by David Buckley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#compiled by Amanda Gulbis
#,SLOAN,,,,,STROEMGREN,,,,,,,,,Bessell,,,,,,,Hbeta wide (Custom Scientific),,UV,,,H-alpha,
Wavelength(nm),SDSS_up,SDSS_gp,SDSS_rp,SDSS_ip,SDSS_zp,Stromgren_u,Stromgren_v,Stromgren_b,Stromgren_y,Hbeta_wide,SRE_1,SRE_2,SRE_3,SRE_4,CLR-S1,U-S1,B-S1,V-S1,R-S1,I-S1,ND,Wavelength,Hbeta_narrow,Wavelength,340-35,380-40,Wavelength,Halpha-S1
246,-0.0003,-0.0005,-0.0006,0.0005,-0.0015,-0.00276, , , , , , , , , , , , , , , ,484.2,2.09E+00,392,5.81E-05,7.74E+01,318.4,3.12E-05
246.5,-0.0002,-0.0003,-0.0006,0.0016,0.0001,-0.00274, , , , , , , , , , , , , , , ,484.3,2.64E+00,393,3.34E-06,7.70E+01,318.6,-4.68E-06
247,0,0,-0.0001,-0.0004,-0.0012,-0.00333, , , , , , , , , , , , , , , ,484.4,3.29E+00,394,2.72E-05,7.65E+01,318.8,6.69E-05
247.5,-0.0006,-0.0005,-0.0007,0.0016,-0.0005,-0.00414, , , , , , , , , , , , , , , ,484.5,4.22E+00,395,1.05E-06,7.61E+01,319,-2.58E-05
248,-0.0005,0.0004,-0.0005,0.0007,0.0011,-0.00485, , , , , , , , , , , , , , , ,484.6,5.37E+00,396,1.05E-06,7.60E+01,319.2,0.000172658
248.5,-0.0002,-0.0002,-0.0001,0.0008,-0.0002,-0.00518, , , , , , , , , , , , , , , ,484.7,6.82E+00,397,1.05E-06,7.59E+01,319.4,0.000179533
249,0.0003,-0.0004,-0.0002,0.0004,0.0007,-0.00519, , , , , , , , , , , , , , , ,484.8,8.82E+00,398,7.09E-07,7.58E+01,319.6,0.000183565
249.5,-0.0007,0.0003,-0.0012,-0.0005,-0.0006,-0.00515, , , , , , , , , , , , , , , ,484.9,1.12E+01,399,5.10E-06,7.49E+01,319.8,6.86E-05
250,-0.0005,0,-0.0005,-0.001,-0.0001,-0.00481, , , , , , , , , , , , , , , ,485,1.45E+01,400,8.05E-06,7.25E+01,320,0.000144463
250.5,-0.0004,-0.0002,-0.0005,-0.0001,0.0001,-0.00441, , , , , , , , , , , , , , , ,485.1,1.83E+01,401,1.05E-06,6.72E+01,320.2,8.47E-05
251,-0.0018,-0.0013,-0.0002,0.0004,-0.0005,-0.00407, , , , , , , , , , , , , , , ,485.2,2.32E+01,402,1.46E-05,5.83E+01,320.4,0.000149875
251.5,-0.0004,-0.0006,0.0001,-0.0004,0,-0.00373, , , , , , , , , , , , , , , ,485.3,2.83E+01,403,7.07E-06,4.69E+01,320.6,0.000259049
252,-0.001,-0.0007,0.0004,-0.0003,0.0003,-0.00338, , , , , , , , , , , , , , , ,485.4,3.44E+01,404,7.15E-06,3.50E+01,320.8,1.38E-05
252.5,-0.0004,-0.0006,-0.0016,-0.001,-0.0004,-0.00373, , , , , , , , , , , , , , , ,485.5,4.01E+01,405,1.05E-06,2.47E+01,321,7.11E-05
253,-0.0003,0,0,-0.0024,0.0001,-0.00401, , , , , , , , , , , , , , , ,485.6,4.64E+01,406,1.86E-08,1.70E+01,321.2,3.11E-05
253.5,0,-0.0006,-0.0009,0.0006,-0.0012,-0.00387, , , , , , , , , , , , , , , ,485.7,5.18E+01,407,3.59E-06,1.15E+01,321.4,0.000127502
254,-0.0011,0.0002,0.0007,-0.0001,-0.0012,-0.00438, , , , , , , , , , , , , , , ,485.8,5.72E+01,408,1.05E-06,7.84E+00,321.6,-8.11E-05
254.5,0.0007,0.0004,-0.0007,-0.0006,-0.0006,-0.00426, , , , , , , , , , , , , , , ,485.9,6.16E+01,409,1.85E-05,5.44E+00,321.8,0.00013192
255,-0.0003,-0.0012,0.0005,-0.0005,0,-0.00399, , , , , , , , , , , , , , , ,486,6.52E+01,410,1.05E-06,3.82E+00,322,0.000161294
255.5,-0.0005,-0.0007,0.0008,0.0003,-0.0005,-0.0039, , , , , , , , , , , , , , , ,486.1,6.81E+01,411,1.05E-06,2.73E+00,322.2,6.44E-05
256,-0.0011,-0.0002,-0.0002,0.0001,0.0003,-0.00312, , , , , , , , , , , , , , , ,486.2,7.01E+01,412,1.05E-06,1.99E+00,322.4,6.85E-05
256.5,-0.0004,-0.0018,0.0004,0.0001,-0.0006,-0.0028, , , , , , , , , , , , , , , ,486.3,7.19E+01,413,8.07E-06,1.47E+00,322.6,0.000111007
257,-0.0009,-0.0003,-0.0001,0.0002,0.0005,-0.00213, , , , , , , , , , , , , , , ,486.4,7.29E+01,414,1.05E-06,1.11E+00,322.8,9.05E-05
257.5,-0.0002,-0.0008,0,0.0003,-0.0007,-0.00153, , , , , , , , , , , , , , , ,486.5,7.37E+01,415,1.19E-05,8.67E-01,323,9.37E-05
258,-0.0006,-0.0007,0.0003,-0.0004,-0.0002,-0.00182, , , , , , , , , , , , , , , ,486.6,7.42E+01,416,4.94E-06,6.74E-01,323.2,4.91E-05
258.5,0.0005,-0.0007,0.0004,-0.0001,-0.0011,-0.00168, , , , , , , , , , , , , , , ,486.7,7.46E+01,417,1.05E-06,5.33E-01,323.4,0.000106357
259,-0.0007,-0.0009,-0.001,-0.0009,-0.0013,-0.00175, , , , , , , , , , , , , , , ,486.8,7.47E+01,418,2.14E-05,4.26E-01,323.6,8.18E-05
259.5,-0.0001,-0.0007,0.0005,0,0.0001,-0.00204, , , , , , , , , , , , , , , ,486.9,7.47E+01,419,2.73E-06,3.46E-01,323.8,0.000200941
260,-0.0009,-0.0006,-0.0001,-0.0003,0.0005,-0.00247, , , , , , , , , , , , , , , ,487,7.48E+01,420,1.05E-06,2.81E-01,324,0.000144306
260.5,-0.0007,0.0001,0,-0.0001,0.0002,-0.00182, , , , , , , , , , , , , , , ,487.1,7.46E+01,421,1.05E-06,2.34E-01,324.2,9.91E-05
261,-0.0009,0.0003,-0.0005,-0.0003,0.0008,-0.00231, , , , , , , , , , , , , , , ,487.2,7.45E+01,422,1.05E-06,1.96E-01,324.4,7.47E-05
261.5,-0.0007,-0.0003,-0.0003,0.0008,-0.0013,-0.0021, , , , , , , , , , , , , , , ,487.3,7.44E+01,423,1.05E-06,1.65E-01,324.6,6.28E-05
262,0.0002,-0.0006,-0.0006,-0.0008,0.0002,-0.00185, , , , , , , , , , , , , , , ,487.4,7.41E+01,424,1.05E-06,1.39E-01,324.8,5.18E-05
262.5,0.0002,-0.0002,-0.0017,0,-0.0001,-0.00219, , , , , , , , , , , , , , , ,487.5,7.39E+01,425,1.05E-06,1.21E-01,325,0.000174442
263,-0.0006,-0.0008,-0.0008,-0.0001,-0.0016,-0.0021, , , , , , , , , , , , , , , ,487.6,7.34E+01,426,3.77E-06,1.03E-01,325.2,4.05E-05
263.5,0,-0.0006,-0.0011,0.0001,0.0006,-0.00279, , , , , , , , , , , , , , , ,487.7,7.27E+01,427,1.05E-06,8.95E-02,325.4,0.000112294
264,0.0001,-0.0002,0.0015,-0.0006,0.0004,-0.00323, , , , , , , , , , , , , , , ,487.8,7.15E+01,428,7.55E-06,7.96E-02,325.6,0.000187438
264.5,0,-0.0004,-0.001,-0.0006,0.0009,-0.00324, , , , , , , , , , , , , , , ,487.9,6.98E+01,429,1.05E-06,7.04E-02,325.8,3.61E-05
265,-0.0005,-0.0007,0,0.0002,-0.0001,-0.00386, , , , , , , , , , , , , , , ,488,6.69E+01,430,1.05E-06,6.36E-02,326,-4.78E-06
265.5,-0.0003,-0.0002,-0.0016,0,0.0001,-0.00392, , , , , , , , , , , , , , , ,488.1,6.36E+01,431,1.05E-06,5.70E-02,326.2,0.000137308
266,-0.0008,-0.0006,0.0001,-0.0004,-0.0006,-0.00405, , , , , , , , , , , , , , , ,488.2,5.87E+01,432,1.05E-06,5.10E-02,326.4,9.92E-05
266.5,-0.0004,0.0003,-0.0003,-0.0004,-0.0001,-0.00405, , , , , , , , , , , , , , , ,488.3,5.37E+01,433,3.03E-06,4.67E-02,326.6,0.000129527
267,-0.001,-0.0002,-0.0002,0.0001,-0.0002,-0.00461, , , , , , , , , , , , , , , ,488.4,4.73E+01,434,1.07E-06,4.26E-02,326.8,7.04E-05
267.5,-0.0001,-0.0006,-0.0009,0.0015,-0.0008,-0.00426, , , , , , , , , , , , , , , ,488.5,4.10E+01,435,3.22E-06,3.95E-02,327,0.000126641
